pIGKV3-6*02	1	78	79	96	97	147	148	156	157	264	VK	0
IGKV2-3*01	1	78	79	111	112	162	163	171	172	279	VK	0
pIGKV7-2*01	1	78	79	114	115	165	166	174	175	282	VK	0
IGKV3-1*01	1	78	79	96	97	147	148	156	157	264	VK	0
orfIGKV2-12*01	1	78	79	111	112	162	163	163	163	270	VK	0
orfIGKV2-12*02  1       78      79      111     112     162     163     163     163     270     VK      0
IGLV3-1*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV4-5*01	1	75	76	96	97	147	148	168	169	276	VL	0
IGLV3-6*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV3-8*01	1	75	76	93	94	144	145	153	154	261	VL	0
orf-IGLV3-11*01	1	75	76	93	94	144	145	153	154	261	VL	0
orf-IGLV3-13*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV3-14*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV3-17*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV3-18*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV3-20*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV3-22*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV4-23*01	1	75	76	96	97	147	148	168	169	276	VL	0
IGLV3-20D*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV3-18D*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV3-17D*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV4-26*01	1	75	76	96	97	147	148	168	169	276	VL	0
IGLV3-29*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV3-33*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV3-36*01	1	75	76	90	91	141	142	150	151	258	VL	0
IGLV3-38*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV3-39*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV3-41*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV3-45*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV3-46*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV3-47*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV3-49*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV3-50*01	1	75	76	93	94	144	145	153	154	267	VL	0
IGLV4-54*01	1	75	76	96	97	147	148	168	169	276	VL	0
IGLV3-56*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV3-57*01	1	75	76	93	94	144	145	153	154	261	VL	0
IGLV3-60*01	1	75	76	93	94	144	145	153	154	261	VL	0
orf-IGLV4-62*01	1	75	76	96	97	147	148	168	169	276	VL	0
IGLV7-69*01	1	75	76	102	103	153	154	162	163	270	VL	0
IGLV5-71*01	1	75	76	102	103	153	154	174	175	288	VL	0
IGLV1-73*01	1	69	70	111	112	162	163	171	172	279	VL	0
IGLV8-77*01	1	75	76	102	103	153	154	162	163	270	VL	0
IGLV1-79*01	1	75	76	99	100	150	151	159	160	264	VL	0
IGLV11-81*01	1	75	76	102	103	153	154	174	175	288	VL	0
IGLV8-84*01	1	75	76	102	103	153	154	162	163	270	VL	0
IGLV1-88*01	1	75	76	102	103	153	154	162	163	270	VL	0
orf-IGLV5-91*01	1	75	76	102	103	153	154	174	175	282	VL	0
IGLV11-98*01	1	75	76	102	103	153	154	174	175	287	VL	0
IGLV11-109*01	1	75	76	102	103	153	154	174	175	288	VL	0
IGLV1-112*01	1	75	76	102	103	153	154	162	163	270	VL	0
IGLV1-116*01	1	75	76	99	100	150	151	159	160	267	VL	0
IGLV11-130*01	1	75	76	102	103	153	154	174	175	288	VL	0
